onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
232.77175930392826	14.983067989349365	Monet2	stimulus.Monet2	+rgSVBVRE8Ij1WNhq8ZW	2.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
247.8381593550452	14.983072996139526	Monet2	stimulus.Monet2	clN4ica4q7huSnWVFTFi	3.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
262.9045613135108	14.983088970184326	Monet2	stimulus.Monet2	C5hAAKaj+g6YG4esiJEj	5849.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
277.97096923244084	14.983078956604004	Monet2	stimulus.Monet2	y0V02oJX710Fs1liZdZ3	5145.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
293.02071431529606	9.966509103775024	Clip	stimulus.Clip	J4PH3ez0PBmcINVwekyF																			2011 KIA X-GAME Aggressive Inline VERT Final	sports1m
303.0872171248206	9.966498613357544	Clip	stimulus.Clip	n2kq4Nv6UNm4wJbdtuHM																			2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR	sports1m
313.15371516597355	9.966490507125854	Clip	stimulus.Clip	iYxs1vPwdSenUzRva/I3																			Mad Max: Fury Road (2015)	Cinematic
323.2202132071265	9.966491460800171	Clip	stimulus.Clip	N1Sn679rCW0XsG5S7c/C																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
333.28671124827946	9.96648645401001	Clip	stimulus.Clip	jlM0Ornu8Dw2nAXCwego																			mountainlake_047-1-0-70-0_54.89.40.102	Rendered
343.3365383471259	9.96649432182312	Clip	stimulus.Clip	iXM+aZY10zP+t3wPmZOW																			The Matrix Reloaded (2003)	Cinematic
353.40303614986027	9.966498613357544	Clip	stimulus.Clip	JNYUnhFvI0mZbwN58E20																			swamp_124-1-11-70-0_34.239.124.192	Rendered
363.4695322836646	9.966493368148804	Clip	stimulus.Clip	7keiPs7vk9CHNrtDuOxL																			2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized)	sports1m
373.5193553293952	9.966498136520386	Clip	stimulus.Clip	t24nBc6mpih4DR5C/qVP																			subway_016-1-3-70-0_52.205.253.179	Rendered
383.5691881502875	9.966498613357544	Clip	stimulus.Clip	JzIVwvytTHCEhcYc0EkS																			2012 UNIV WORLDS Stenberg (USA) dec Sasunouski (BLR) 84 kg Greco bout	sports1m
393.63568619144047	9.96649718284607	Clip	stimulus.Clip	shDuGRZylVmZLCBFIVeP																			2011 July 23 ICUP Solitude XC Mountain Bike Race	sports1m
403.70218518626774	9.966498374938965	Clip	stimulus.Clip	ysjy6YgGXX5+mcx52KSM																			The Matrix Reloaded (2003)	Cinematic
413.76867822063053	9.966498136520386	Clip	stimulus.Clip	bKnOzTbZRquPibCBnpIr																			2011 SYNERGY NYP-ADC Adventure Race mpg	sports1m
423.8351781691321	9.966493368148804	Clip	stimulus.Clip	ij613vKaxSg15IdRX0Jr																			1 of 5 - 2011 True Grit Epic Endurance Mountain Bike Race	sports1m
433.90166619670475	9.966499328613281	Clip	stimulus.Clip	bzYQv9E7gNZAHhK7rLoP																			The Matrix Revolutions (2003)	Cinematic
443.9681587542304	9.966505765914917	Clip	stimulus.Clip	huhM2olRohVdFEjIXHvM																			Mad Max: Fury Road (2015)	Cinematic
454.01799825084294	9.966496467590332	Clip	stimulus.Clip	rRSIiDWWtsgGPTMouaQ3																			Koyaanisqatsi: Life Out of Balance (1982)	Cinematic
464.08449223888005	9.966493368148804	Clip	stimulus.Clip	l1XFk1yC3pe9aiiL13v0																			ancienttomb_028-1-4-70-0_34.203.243.27	Rendered
474.15099314105595	9.966497421264648	Clip	stimulus.Clip	18eMnxZfes1DRZ74TlDv																			2010 WORLDS Faruk Sahin (USA) dec Tomasz Swierk (POL) 66 kg GR	sports1m
484.21748712909306	9.966488599777222	Clip	stimulus.Clip	JqA7wS3q2Kn+1YNF7DHX																			The Matrix Reloaded (2003)	Cinematic
494.28398612392033	9.96649432182312	Clip	stimulus.Clip	gmO6YFzE4hRl0ywoUqBG																			Naqoyqatsi: Life as War (2002)	Cinematic
504.3338151301154	9.966489553451595	Clip	stimulus.Clip	rmx11ZrkQ69WYuWCa6OG																			2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR	sports1m
514.3836422289619	9.96650242805481	Clip	stimulus.Clip	CBYizwCQrgS8NFXO8yCv																			2012 USCS Lambert Park XC Mountain Bike Race (Stabilized)	sports1m
524.4501371706733	9.96649718284607	Clip	stimulus.Clip	KnDvit0pBDmQRzkXW2YQ																			run29-templeInterior-1-0	Rendered
534.4999585474739	9.966507196426392	Clip	stimulus.Clip	s2VX1P64OaQWjfTqaQVu																			2011 July 2 ICUP Dutch Hollow XC Mountain Bike Race	sports1m
544.5664651716957	9.96649718284607	Clip	stimulus.Clip	NHilz50GBi7DluqHimfb																			2011 July 23 ICUP Solitude XC Mountain Bike Race	sports1m
554.6162982310066	9.966496229171753	Clip	stimulus.Clip	H6Ryy52suyFqvu1FUp0M																			mountainlake_013-1-0-70-0_54.210.37.143	Rendered
564.682790311695	9.966503143310547	Clip	stimulus.Clip	nsn+wHiYQrIGbANq/P+e																			1-13-05	sports1m
574.7492862070808	9.966493129730225	Clip	stimulus.Clip	5fhe7UWYv0iBRStvDmYA																			Mad Max: Fury Road (2015)	Cinematic
584.7991192663917	9.96650218963623	Clip	stimulus.Clip	x6gdY7lDr0PBRAmoZ7xZ																			2011 June 25 USCS Round Valley XC Mountain Bike Race	sports1m
594.8489473189125	9.96649718284607	Clip	stimulus.Clip	7UETOWO5Z8aWuHDBJ2GG																			Star Wars: Episode VII - The Force Awakens (2015)	Cinematic
604.8987751330146	9.966501474380493	Clip	stimulus.Clip	GjCMo2GkJp6y5vricadg																			americandiner_005-1-5-70-0_54.165.28.255	Rendered
614.9652781809577	9.966499328613281	Clip	stimulus.Clip	ecUQJtcERZJGdqza1k7h																			2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam	sports1m
625.0317752684364	9.966498374938965	Clip	stimulus.Clip	Oup5uAZxF2G7zEJkT+ui																			2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13	sports1m
635.0982673491249	9.96650242805481	Clip	stimulus.Clip	KXdTNAGMo1gCWz2Ge8zr																			run82-ancientTomb-1-0	Rendered
645.1647622908363	9.96650505065918	Clip	stimulus.Clip	5zQTb77qI+ig8rigx1XU																			Mad Max: Fury Road (2015)	Cinematic
655.2312612856635	14.983073949813843	Monet2	stimulus.Monet2	GHn0W57E+2PS+Qr5yD2r	8.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
670.2976651514778	14.983084201812744	Monet2	stimulus.Monet2	r0VcC+qQ8ryFTuygzDhJ	5256.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
685.3640783156166	14.983081817626953	Monet2	stimulus.Monet2	YLuStB2eXkgOS+Cescsy	9.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
700.4138253058204	14.983083248138428	Monet2	stimulus.Monet2	yv/S61fYnDSQcA9J6Nk8	7.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
715.4802382315406	14.983083248138428	Trippy	stimulus.Trippy	zcz9H/fzww6BdAJTTzoe	7.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
730.5466552103767	14.983093023300171	Trippy	stimulus.Trippy	dQPCwE5HX7SBDS0Wc3w9	7777.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
745.6130712355384	14.983090162277222	Trippy	stimulus.Trippy	ZJvulWBItHtLlDVkIntm	8.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
760.6794853533515	14.983086824417114	Trippy	stimulus.Trippy	UY8khpFa2sqZzvAh12RT	1002.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
775.7459001864204	9.966511487960815	Clip	stimulus.Clip	Mg5bLgoNvze3EPLB9rbZ																			2011 KIA X-GAME Aggressive Inline VERT Final	sports1m
785.812406333805	9.96650242805481	Clip	stimulus.Clip	yfFAPn1QpVQmEC2iXg07																			swamp_103-1-11-70-0_54.162.127.170	Rendered
795.8789091433296	9.966503381729126	Clip	stimulus.Clip	fSfoxctVyPEoVzFOpsAw																			ancienttomb_068-1-4-70-0_34.239.124.192	Rendered
805.9454052771339	9.96650242805481	Clip	stimulus.Clip	5Q4+LRPdnmpiazfLNOdJ																			mountainlake_006-1-0-70-0_184.73.123.94	Rendered
816.0119042719612	9.966504096984863	Clip	stimulus.Clip	EyGfkWSsxEsE8f3GX5Ox																			lowpolyjungle_079-1-9-70-0_52.87.152.28	Rendered
826.0784073199043	9.966491460800171	Clip	stimulus.Clip	Lp/pttdcIH1AZsCOGZuG																			Naqoyqatsi: Life as War (2002)	Cinematic
836.1449041689643	9.966493368148804	Clip	stimulus.Clip	ubOIjeUGbsNAJqMPIDqU																			mountainlake_066-1-0-70-0_54.205.66.32	Rendered
846.2113993490943	9.966495990753174	Clip	stimulus.Clip	ihsP/Q14/eSpxdQLR3F4																			Mad Max: Fury Road (2015)	Cinematic
856.2779033507118	9.966499328613281	Clip	stimulus.Clip	ClffawlgRfZbgKwX6zRB																			ancienttomb_100-1-4-70-0_54.209.141.225	Rendered
866.3443923319587	9.966505289077759	Clip	stimulus.Clip	aedxogPGpb5IiLcjLo8c																			2012 January 28 Frozen Hog Snow Mountain Bike Race	sports1m
876.4108972872505	9.966489315032959	Clip	stimulus.Clip	3wXTReOQa7mnr6Oz8aUf																			2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race	sports1m
886.4773953284034	9.966500043869019	Clip	stimulus.Clip	0eP/PPhAGmbJ2peZOa/E																			ancienttomb_105-1-4-70-0_54.89.40.102	Rendered
