onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
342.3135463688209	9.966503143310547	Clip	stimulus.Clip	8pE6BIyVTtcywxHwo8OU																			The Matrix Revolutions (2003)	Cinematic
352.38004631732247	9.966501235961914	Clip	stimulus.Clip	R0SF2/uzu9NiTx4X0Zuw																			2008 USARA Adventure Race National Championship-CP1-3	sports1m
362.44654531214974	9.966493368148804	Clip	stimulus.Clip	ipOdMLxXyyDScReCMm6Z																			2012 August 14 Midweek MTB Solitude XC Mountain Bike Race	sports1m
372.51304740641854	9.966495037078857	Clip	stimulus.Clip	CL/S03CuGyzPTlpFwF69																			Naqoyqatsi: Life as War (2002)	Cinematic
382.5795442554786	9.966503381729126	Clip	stimulus.Clip	JI+Ufze4osYEZns/v0tC																			Mad Max: Fury Road (2015)	Cinematic
392.6460442039802	9.96649956703186	Clip	stimulus.Clip	6LHZK7CFlF+QCMdkFUEo																			2011 July 2 ICUP Dutch Hollow XC Mountain Bike Race	sports1m
402.71253056262276	9.96651315689087	Clip	stimulus.Clip	JOYs8Wny1GJlw6AxCVo5																			lowpolyjungle_015-1-9-70-0_54.175.147.171	Rendered
412.7790433857276	9.966491460800171	Clip	stimulus.Clip	mG4xsIyTTnaRWKW82yeD																			The Matrix (1999)	Cinematic
422.8455352279975	9.966497421264648	Clip	stimulus.Clip	hnYVTt6SOC5gw43jdDOb																			Mad Max: Fury Road (2015)	Cinematic
432.912036368592	9.966508150100708	Clip	stimulus.Clip	HvUTYlGssHeK5Ub4iNLY																			mountainlake_075-1-0-70-0_52.205.253.179	Rendered
442.9785372707679	9.966505289077759	Clip	stimulus.Clip	pBsrFShgY2qLi+7xYSGi																			1984 Winter Olympics - Mens Luge 1st run - Part 1	sports1m
453.045040318711	9.966499328613281	Clip	stimulus.Clip	IPvYT7eXLYJ557HrVPnG																			1 of 7 - 2010 ICup Utah Open State Championship XC Mountain Bike Race	sports1m
463.1115393135383	9.966491460800171	Clip	stimulus.Clip	NWqTwzuwGakTM37kHKK4																			The Matrix Revolutions (2003)	Cinematic
