onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
212.64569485357794	14.9830801486969	Monet2	stimulus.Monet2	+rgSVBVRE8Ij1WNhq8ZW	2.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
227.72877872160467	14.983079195022583	Monet2	stimulus.Monet2	aw5jWnBEeohV/edjq+kK	4617.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
242.79518973997625	14.983098983764648	Monet2	stimulus.Monet2	SzeVJsDzE+Ceeb3XK4TT	5.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
257.8616117256025	14.983096361160278	Monet2	stimulus.Monet2	T7HmfsJsIVpbtSjUW3l3	5813.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
272.92803991011175	14.983094930648804	Monet2	stimulus.Monet2	WD0uyxvusJmVxfeKu9mZ	1.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
287.9944578426221	14.983097076416016	Monet2	stimulus.Monet2	SdorJhaNYcCwFUPib+uu	6873.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
303.0608829276899	14.983094215393066	Monet2	stimulus.Monet2	7rP5Wc0iUI/IST1v65Ur	2949.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
318.12730777433904	14.983093976974487	Monet2	stimulus.Monet2	AZvr1UF39ygFqNxKr/8K	6.0									0.0	72.0	1.7	hamming	4.0	2.5	1.0	1.0	16.0		
333.1937338130811	9.966517925262451	Clip	stimulus.Clip	Mg5bLgoNvze3EPLB9rbZ																			2011 KIA X-GAME Aggressive Inline VERT Final	sports1m
343.2602397220472	9.966512203216553	Clip	stimulus.Clip	yfFAPn1QpVQmEC2iXg07																			swamp_103-1-11-70-0_54.162.127.170	Rendered
