onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
212.15377126035816	9.966495275497437	Clip	stimulus.Clip	5mN+CgYzRIj4/bP+VH8Y																			1984 Winter Olympics - Mens Luge 2nd Run - Part 3	sports1m
222.2202693015111	9.966500520706177	Clip	stimulus.Clip	ImuSRQUQ9N4iUC010zUk																			Mad Max: Fury Road (2015)	Cinematic
232.28676829633838	9.966500520706177	Clip	stimulus.Clip	A3SF4sP0ffZXbfnyUGw0																			The Matrix Reloaded (2003)	Cinematic
242.35326729116565	9.9664945602417	Clip	stimulus.Clip	FYcu7JS6q8kG7S//hXzq																			Mad Max: Fury Road (2015)	Cinematic
252.41975555715686	9.966516017913818	Clip	stimulus.Clip	qiBBaBtFVdb9F/zD+y1O																			templeinterior_027-1-2-70-0_54.83.154.242	Rendered
262.4862674265874	9.966503143310547	Clip	stimulus.Clip	mR9hqOW1IBAzD5SOAu17																			2011 July 23 ICUP Solitude XC Mountain Bike Race	sports1m
272.5527664214147	9.966503143310547	Clip	stimulus.Clip	QmynNYnz4Q0hMBpTZ/xv																			Koyaanisqatsi: Life Out of Balance (1982)	Cinematic
282.6192682772649	9.96650242805481	Clip	stimulus.Clip	gpu0WyfdPMgXV/xhy6ZP																			2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13	sports1m
292.6857694178594	9.966501474380493	Clip	stimulus.Clip	0ir9/br3yxbe2BBf65zF																			The Matrix Reloaded (2003)	Cinematic
302.75226841268665	9.966492176055908	Clip	stimulus.Clip	NM2SnnQwIoj8iKOMP6xA																			Naqoyqatsi: Life as War (2002)	Cinematic
312.81876836118823	9.966499328613281	Clip	stimulus.Clip	F5KOXJGuqZljKK9USGu/																			2010 WORLDS Jake Clark (USA) dec T Tounousidis (GRE) 84 kg GR	sports1m
322.8852664023412	9.96651005744934	Clip	stimulus.Clip	uWDM4AAJ+PIdXzpPxOha																			Mad Max: Fury Road (2015)	Cinematic
332.9517694502843	14.983078956604004	Trippy	stimulus.Trippy	ZJvulWBItHtLlDVkIntm	8.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
348.00151644048816	14.983088254928589	Trippy	stimulus.Trippy	gOR8lxEY3P29WrEBrHVD	5256.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
363.06793532667285	14.983098030090332	Trippy	stimulus.Trippy	FwG4V5nAZdXPlcAEu/X9	9.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
378.13435635862476	14.983090877532959	Trippy	stimulus.Trippy	zcz9H/fzww6BdAJTTzoe	7.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
393.2007823973668	9.966514110565186	Clip	stimulus.Clip	cgM47I51C5DD66ojapUm																			medievalsewer_065-1-6-70-0_54.165.28.255	Rendered
403.2672892600072	9.966509580612183	Clip	stimulus.Clip	b0c2FG0D/Pp6NCtK2XAY																			ancienttomb_093-1-4-70-0_107.23.36.15	Rendered
413.33378634748584	9.966520071029663	Clip	stimulus.Clip	2WKn4exHCqxlascGShIJ																			ancienttomb_041-1-4-70-0_34.239.124.192	Rendered
423.4002913027776	9.966510534286499	Clip	stimulus.Clip	VnmGw0bzrtz9srThPCVX																			The Matrix Reloaded (2003)	Cinematic
433.46679363546497	9.966508865356445	Clip	stimulus.Clip	OVK30RyRpOnA8Iz/MF7O																			1 of 7 - 2010 ICup Utah Open State Championship XC Mountain Bike Race	sports1m
443.5333112269414	9.966502666473389	Clip	stimulus.Clip	cCXzcuJ63H1ycQAthj7r																			1995 bmx vert bs contest  mat hoffman bike park okc	sports1m
