onset	duration	nwb_table	stimulus_type	condition_hash	rng_seed	texture_height	texture_width	xnodes	ynodes	up_factor	temp_freq	temp_kernel_length	spatial_freq	blue_green_saturation	pattern_width	pattern_aspect	temp_kernel	temp_bandwidth	ori_coherence	ori_fraction	ori_mix	num_directions	movie_name	short_movie_name
272.4845154801935	9.999815940856934	Clip	stimulus.Clip	QmynNYnz4Q0hMBpTZ/xv																			Koyaanisqatsi: Life Out of Balance (1982)	Cinematic
282.6176775018305	9.966484308242798	Clip	stimulus.Clip	gpu0WyfdPMgXV/xhy6ZP																			2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13	sports1m
292.71749358573857	9.966498136520386	Clip	stimulus.Clip	0ir9/br3yxbe2BBf65zF																			The Matrix Reloaded (2003)	Cinematic
302.8173215905756	9.966490268707275	Clip	stimulus.Clip	NM2SnnQwIoj8iKOMP6xA																			Naqoyqatsi: Life as War (2002)	Cinematic
312.917147688064	9.966487169265747	Clip	stimulus.Clip	F5KOXJGuqZljKK9USGu/																			2010 WORLDS Jake Clark (USA) dec T Tounousidis (GRE) 84 kg GR	sports1m
323.0002995053858	9.966488361358643	Clip	stimulus.Clip	uWDM4AAJ+PIdXzpPxOha																			Mad Max: Fury Road (2015)	Cinematic
333.08346062103215	9.966485500335693	Clip	stimulus.Clip	okYfMyn8qc2ClgvpS7WG																			2009 Skijoring Event in Whitefish Montana (part 1)	sports1m
343.16661768356266	9.966494083404541	Clip	stimulus.Clip	NHlF8hOkZ6psFRIVhB6N																			ancienttomb_107-1-4-70-0_54.165.28.255	Rendered
353.2331045190424	9.96649718284607	Clip	stimulus.Clip	AxNNo310kAl9uUSr+hXS																			medievalsewer_009-1-6-70-0_107.23.36.15	Rendered
363.29960256019535	9.966488361358643	Clip	stimulus.Clip	mjtZRmGqaXCHGB59txoI																			Powaqqatsi: Life in Transformation (1988)	Cinematic
373.36608176628056	9.966506004333496	Clip	stimulus.Clip	W50xYLSTlUixv1tOfuSJ																			2011 Boulder Cup Cyclocross Elite Women	sports1m
383.4325845758051	9.966485261917114	Clip	stimulus.Clip	WpAnXD10RC/bdk0t5JIH																			1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race	sports1m
393.49907665649357	14.983062982559204	Trippy	stimulus.Trippy	J16ZOJeYRqKSmIu4kmsd	7795.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
408.56547265449467	14.983077049255371	Trippy	stimulus.Trippy	FwG4V5nAZdXPlcAEu/X9	9.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
423.63188939491215	14.983072996139526	Trippy	stimulus.Trippy	c6il6/HFHBatfpiQJdgg	1.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
438.6982894460291	14.983080863952637	Trippy	stimulus.Trippy	qkOGGOuZpenUfVPsg7pC	2077.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
453.764701418075	14.983074426651001	Trippy	stimulus.Trippy	nGvPkYTkoR2LVULUXJzf	5904.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
468.83110266128483	14.983085632324219	Trippy	stimulus.Trippy	7OOFD+pywgnU8G/QQ7O8	9084.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
483.89751344123783	14.98308515548706	Trippy	stimulus.Trippy	hhWRsNy4ljt4M1PtvZ3u	6.0	90.0	160.0	12.0	6.0	24.0	4.0	61.0	0.08											
